nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej w Surhowie,,Powiat krasnostawski,"Surhów-Kolonia 3,
									22-310
									Kraśniczyn",dla osób przewlekle psychicznie chorych (Publiczny),80,1022/KR - 2021,138
Dom Pomocy Społecznej im. św. Jana Pawła II w Krasnymstawie,,Powiat krasnostawski,"Kwiatowa 1,
									22-300
									Krasnystaw Filia: Dom w Ostrowie Krupskim, Filia: Dom w Stężycy Nadwieprzańskiej, Filia: Dom w Bzowcu,","dla dzieci i młodzieży niepełnosprawnych intelektualnie, dla osób dorosłych niepełnosprawnych intelektualnie dla osób przewlekle somatycznie chorych dla osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych (Publiczny)",295,1024/KR - 2021,139
Dom Pomocy Społecznej w Majdanie Wielkim,,Powiat zamojski,"Majdan Wielki 392,
									22-440
									Krasnobród",dla osób przewlekle psychicznie chorych (Publiczny),64,1027/KR - 2021,139
Dom Pomocy Społecznej w Ruskich Piaskach,,Powiat zamojski,"Ruskie Piaski 59,
									22-413
									Nielisz",Dla kobiet przewlekle psychicznie chorych (Publiczny),59,1029/KR - 2021,139
Dom Pomocy Społecznej w Kalince,,Powiat parczewski,"Kalinka 12-13,
									21-205
									Jabłoń",dla osób przewlekle psychicznie chorych (Publiczny),96,1030/KR - 2021,139
BARKA Dom Pomocy Społecznej im. Jana Pawła II w Janowie Lubelskim,,Powiat janowski,"Wiejska 12,
									23-300
									Janów Lubelski","dla osób w podeszłym wieku, dla osób przewlekle somatycznie chorych, dla osób dorosłych niepełnosprawnych intelektualnie, dla osób przewlekle psychicznie chorych (Publiczny)",180,1031/KR - 2021,139
Dom Pomocy Społecznej w Ryżkach,,Powiat łukowski,"Ryżki 75,
									21-400
									Łuków",dla osób dorosłych niepełnosprawnych intelektualnie (85 miejsc) oraz dla osób przewlekle psychicznie chorych (25 miejsc) (Publiczny),110,1032/KR - 2021,140
Dom Pomocy Społecznej w Kozuli,,"Powiat biała podlaska, bialski","Kozula 1,
									21-500
									Biała Podlaska","dla osób w podeszłym wieku (70 miejsc) oraz dla osób przewlekle somatycznie chorych (80 miejsc), dorosłych niepełnosprawnych intelektualnie (20 miejsc), dla dzieci i młodzieży niepełnosprawnych intelektualnie (20 miejsc) oraz dla osób przewlekle psychicznie chorych (30 miejsc) (Publiczny)",220,1034/KR - 2021,140
Dom Pomocy Społecznej w Chojnie Nowym,,Powiat chełmski,"Chojno Nowe Pierwsze  118,
									22-130
									Siedliszcze",dla osób przewlekle psychicznie chorych (Publiczny),47,1041/KR - 2021,141
Dom Pomocy Społecznej w Krzesimowie,,Powiat świdnicki,"Krzesimów 77,
									21-007
									Mełgiew",dla osób przewlekle psychicznie chorych (dla mężczyzn) (Publiczny),58,1044/KR - 2021,141
Dom Pomocy Społecznej im. Macieja Rataja w Kocku,,Powiat lubartowski,"Tadeusza Kościuszki 1,
									21-150
									Kock",dla osób w podeszłym wieku (33 miejsca) dla osób przewlekle somatycznie chorych (32 miejsca) oraz dla osób przewlekle psychicznie chorych (15 miejsc) (Publiczny),80,1046/KR - 2021,141
Dom Pomocy Społecznej Przystań we Wronikowie,,Powiat piotrkowski,"Wroników 26,
									97-340
									Rozprza",dla osób przewlekle psychicznie chorych (Prywatny),37,1111/KR - 2021,145
Dom Pomocy Społecznej Złota Rybka w Kochanowie,,Powiat skierniewicki,"Kochanów 31,
									96-130
									Głuchów",dla osób przewlekle psychicznie chorych (Prywatny),32,1112/KR - 2021,145
Dom Pomocy Społecznej w Łochyńsku,,Powiat piotrkowski,"Łochyńsko 75A,
									97-340
									Rozprza",dla osób przewlekle psychicznie chorych (Publiczny),155,1123/KR - 2021,146
Dom Pomocy Społecznej w Gostkowie,,Powiat poddębicki,"Stary Gostków 41,
									99-220
									Wartkowice",dla osób przewlekle psychicznie chorych (Publiczny),106,1124/KR - 2021,146
Dom Pomocy Społecznej w Radziechowicach,,Powiat radomszczański,"Wspólna 2, Radziechowice Pierwsze,
									97-561
									Ładzice",dla osób przewlekle psychicznie chorych (Publiczny),136,1126/KR - 2021,146
