nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Powiatowy Dom Pomocy Społecznej w Czarnowie,REKOMENDACJA KIDO,Powiat gostyniński,"Czarnów 5,
									09-541
									Pacyna",dla osób przewlekle psychicznie chorych (Publiczny),250,252/KR - 2021,13
Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek NMP Łódź Kosynierów Gdyńskich,REKOMENDACJA KIDO,Łódź,"Kosynierów Gdyńskich 20,
									93-357
									Łódź",dla osób przewlekle psychicznie chorych (Publiczny),100,1142/KR - 2021,13
Dom Pomocy Społecznej Lubliniec z filią Koszęcin,REKOMENDACJA KIDO,Powiat lubliniecki,"Kochcicka 14,
									42-700
									Lubliniec Dąbrówki 1,
									42-286
									Koszęcin",osoby przewlekle psychicznie chore osoby przewlekle psychicznie chore (Publiczny),278,2410/KR - 2021,14
Dom Pomocy Społecznej w Kurowie,REKOMENDACJA KIDO,Powiat włocławski,"Kurowo Parcele 44,
									87-821
									Baruchowo",dla osób przewlekle psychicznie chorych (Publiczny),60,2584/KR - 2021,14
Dom Pomocy Społecznej – Ewangelicki Dom Opieki BETEZDA Ukta,REKOMENDACJA KIDO,Powiat piski,"Ukta 31,
									12-220
									Ruciane Nida",dla osób przewlekle psychicznie chorych (Publiczny),40,557/KR - 2021,17
Dom Pomocy Społecznej pw. św. Franciszka z Asyżu Caritas Diecezji Łomżyńskiej,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat białostocki,"ul. Klasztorna 1 ,
									16-080
									Tykocin",dla osób przewlekle psychicznie chorych - kobiety (Publiczny),56,813/KR - 2021,18
Dom Pomocy Społecznej Spokojna Przystań w Garbarach,REKOMENDACJA KIDO,Powiat białostocki,"Garbary 1,
									16-050
									Michałowo",dla osób przewlekle psychicznie chorych (Publiczny),200,816/KR - 2021,18
Dom Pomocy Społecznej w Wąbrzeźnie,REKOMENDACJA KIDO,Powiat wąbrzeski,"Pod Młynik 4a,
									87-200
									Wąbrzeźno",dla osób przewlekle psychicznie chorych (Publiczny),75,2580/KR - 2021,26
Dom Pomocy Społecznej dla Dorosłych we Wrocławiu,REKOMENDACJA KIDO,Wrocław,"Farna 3,
									51-313
									Wrocław",dla osób przewlekle psychicznie chorych (Publiczny),101,2647/KR - 2021,27
Dom Pomocy Społecznej Zielone Wzgórze,,Powiat dzierżoniowski,"Rościszów 84,
									58-250
									Pieszyce",dla osób przewlekle psychicznie chorych (Publiczny),45,2655/KR - 2021,37
Dom Pomocy Społecznej Resko,,Powiat łobeski,"ul. Wojska Polskiego 40  ,
									73-310 
									Resko",dla osób dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle psychicznie chorych (Publiczny),140,65/KR - 2021,47
Dom Pomocy Społecznej Żydowo,,Powiat koszaliński,"Żydowo 111,
									76-012
									Żydowo",dla osób przewlekle psychicznie chorych (Publiczny),215,69/KR - 2021,48
Dom Pomocy Społecznej Szczecin,,Szczecin,"Władysława Broniewskiego 4/6,
									71-460
									Szczecin",dla osób przewlekle psychicznie chorych (Publiczny),74,78/KR - 2021,49
Dom Pomocy Społecznej im. Doktora Edmunda Wojtyły Szczecin,,Szczecin,"Stanisława Herakliusza Lubomirskiego 7,
									71-505
									Szczecin",dla osób przewlekle psychicznie chorych (Publiczny),100,79/KR - 2021,49
Dom Pomocy Społecznej im. Bpa Stanisława Stefanka Kolsk,,Powiat choszczeński,"Kolsk 30A,
									73-240
									Bierzwnik",dla osób przewlekle psychicznie chorych (Publiczny),90,82/KR - 2021,49
Dom Pomocy Społecznej Jaromin,,Powiat gryficki,"Jaromin k/Trzebiatowa,
									72-320 
									Jaromin",dla osób przewlekle psychicznie chorych oraz osób dorosłych niepełnosprawnych intelektualnie (Publiczny),345,83/KR - 2021,49
Dom Pomocy Społecznej Darskowo,,Powiat drawski,"Darskowo 7,
									78-520
									Złocieniec",dla osób przewlekle psychicznie chorych w Darskowie (Publiczny),67,86/KR - 2021,49
Dom Pomocy Społecznej Nowogard,,Powiat goleniowski,"Smużyny 2,
									72-200
									Nowogard",dla osób niepełnosprawnych intelektualnie oraz przewlekle psychicznie chorych (Publiczny),237,87/KR - 2021,50
Dom Pomocy Społecznej Piotrowice,,Powiat kołobrzeski,"Piotrowice 1,
									78-114
									Dygowo",dla osób przewlekle psychicznie chorych (Publiczny),44,97/KR - 2021,51
Dom Pomocy Społecznej w Pułtusku,,Powiat pułtuski,"Teofila Kwiatkowskiego 19A,
									06-100
									Pułtusk",dla osób przewlekle psychicznie chorych (Publiczny),96,233/KR - 2021,62
Dom Pomocy Społecznej w Ciechanowie,,Powiat ciechanowski,"Krucza 32,
									06-400
									Ciechanów",dla osób przewlekle psychicznie chorych (Publiczny),185,240/KR - 2021,63
Dom Pomocy Społecznej Przyjaznych Serc w Płocku,,Płock,"Krótka 6A,
									09-400
									Płock",dla osób przewlekle psychicznie chorych (Publiczny),80,244/KR - 2021,64
Dom Pomocy Społecznej Leśny w Warszawie,,Warszawa,"Tułowicka 3,
									01-974
									Warszawa",dla osób przewlekle psychicznie chorych (Publiczny),200,247/KR - 2021,64
Dom Pomocy Społecznej Pod Topolami w Lesznowoli,,Powiat grójecki,"Grójecka 1,
									05-600
									Grójec",dla osób przewlekle psychicznie chorych (Publiczny),110,251/KR - 2021,64
Dom Pomocy Społecznej im. Jana Pawła II w Nasielsku,,Powiat nowodworski,"Tadeusza Kościuszki 25,
									05-190
									Nasielsk",dla osób przewlekle psychicznie chorych (Publiczny),100,253/KR - 2021,64
Dom Pomocy Społecznej Zdrowa Jesień,,Powiat mławski,"Bogurzyn 87,
									06-521
									Wiśniewo",dla osób przewlekle psychicznie chorych (Publiczny),50,257/KR - 2021,65
Dom Pomocy Społecznej NOWELA,,Powiat przysuski,"Gałki 70,
									26-434
									Gielniów",dla osób przewlekle psychicznie chorych (Publiczny),78,263/KR - 2021,65
Dom Pomocy Społecznej w Hamerni,,Powiat żyrardowski,"Mszczonowska 1,
									96-325
									Radziejowice",dla osób przewlekle psychicznie chorych (Publiczny),73,270/KR - 2021,66
Dom Pomocy Społecznej w Radomiu,,Radom,"Zofii Holszańskiej 13,
									26-600
									Radom",dla osób przewlekle psychicznie chorych (Publiczny),80,276/KR - 2021,67
Dom Pomocy Społecznej dla Dorosłych Zgromadzenia Sióstr Franciszkanek Rodziny Maryi w Robercinie,,Powiat piaseczyński,"Gościniec 32,
									05-503
									Głosków",dla osób przewlekle psychicznie chorych (kobiet) (Publiczny),80,277/KR - 2021,67
Dom Pomocy Społecznej im. Waleriana Łukasińskiego w Górze Kalwarii,,Powiat piaseczyński,"Szpitalna 1,
									05-530
									Góra Kalwaria",dla osób przewlekle somatycznie chorych oraz osób przewlekle psychicznie chorych (Publiczny),500,283/KR - 2021,68
Dom Pomocy Społecznej w Zakrzewie,,Powiat płocki,"Zakrzewo 14,
									09-460
									Mała Wieś",dla osób przewlekle psychicznie chorych (Publiczny),84,284/KR - 2021,68
Dom Pomocy Społecznej Nad Potokiem im. Bohdany Danuty Kijewskiej w Radomiu,,Radom,"Struga 88 ,
									26-600 
									Radom",dla osób przewlekle somatycznie chorych oraz osób przewlekle psychicznie chorych (Publiczny),185,291/KR - 2021,68
Dom Pomocy Społecznej w Gródku,,Powiat zwoleński,"Gródek 26,
									26-720
									Policzna",dla osób przewlekle psychicznie chorych (Publiczny),77,293/KR - 2021,69
Dom Pomocy Społecznej im. Księdza Kardynała Józefa Glempa w Bramkach,,Powiat warszawski zachodni,"Północna 18, Bramki,
									05-870
									Błonie",dla dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle psychicznie chorych (Publiczny),170,296/KR - 2021,69
Dom Pomocy Społecznej Anielin w Karczewie,,Powiat otwocki,"Anielin 1,
									05-480
									Karczew",dla osób przewlekle psychicznie chorych (Publiczny),28,301/KR - 2021,69
Dom Pomocy Społecznej Nad Jarem w Nowym Miszewie,,Powiat płocki,"Pałacowa 2B,
									09-471
									Nowe Miszewo",dla dorosłych niepełnosprawnych intelektualnie z oddziałem dla osób przewlekle psychicznie chorych (Publiczny),186,303/KR - 2021,70
Dom Pomocy Społecznej im. Kazimiery Gruszczyńskiej w Kozienicach,,Powiat kozienicki,"Lubelska 50,
									26-900
									Kozienice",dla osób przewlekle psychicznie chorych oraz osób przewlekle somatycznie chorych (Publiczny),108,304/KR - 2021,70
Dom Pomocy Społecznej św. Józefa w Mieni,,Powiat miński,"Mienia 94,
									05-319
									Cegłów",dla osób przewlekle somatycznie chorych oraz osób przewlekle psychicznie chorych (Publiczny),180,315/KR - 2021,71
Dom Pomocy Społecznej w Jedlance,,Powiat radomski,"Jedlanka 10,
									26-660
									Jedlińsk",dla osób przewlekle psychicznie chorych (Publiczny),140,316/KR - 2021,71
Dom Pomocy Społecznej dla Osób z Chorobą Alzheimera,,Powiat siedlecki,"Ptaszki 6A/B,
									08-140
									Mordy",dla osób przewlekle psychicznie chorych (Publiczny),53,327/KR - 2021,72
Dom Pomocy Społecznej w Obrytem,,Powiat pułtuski,"Obryte 188,
									07-215
									Obryte",dla osób przewlekle psychicznie chorych (Publiczny),290,329/KR - 2021,73
Dom Pomocy Społecznej w Ołdakach,,Powiat pułtuski,"Ołdaki 7,
									06-126
									Gzy",dla dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle psychicznie chorych (Publiczny),118,330/KR - 2021,73
"Dom Pomocy Społecznej im. Kardynała Stefana Wyszyńskiego, Prymasa Tysiąclecia w Ostrołęce",,Ostrołęka,"Rolna 27,
									07-410
									Ostrołęka",dla osób przewlekle psychicznie chorych (Publiczny),233,332/KR - 2021,73
Dom Pomocy Społecznej Osiek,,Powiat rawicki,"Osiek 54,
									63-920
									Pakosław",dla osób przewlekle psychicznie chorych (Publiczny),100,369/KR - 2021,76
Dom Pomocy Społecznej Mościszki,,Powiat kościański,"Mościszki 37,
									64-010
									Krzywiń",dla osób przewlekle psychicznie chorych (Publiczny),97,372/KR - 2021,77
Dom Pomocy Społecznej w Raszewy,,Powiat jarociński,"Raszewy 56,
									63-210
									Żerków Gmina",dla osób przewlekle psychicznie chorych (Publiczny),30,381/KR - 2021,78
Dom Pomocy Społecznej Rogowo,,Powiat gostyński,"Rogowo 24,
									63-840
									Krobia",dla osób przewlekle psychicznie chorych (Publiczny),97,386/KR - 2021,78
Dom Pomocy Społecznej Kochłowy,,Powiat ostrzeszowski,"Kochłowy 1,
									63-500
									Ostrzeszów",dla osób przewlekle psychicznie chorych (Publiczny),80,389/KR - 2021,79
Dom Pomocy Społecznej w Wieleniu,,Powiat czarnkowsko-trzcianecki,"Fryderyka Chopina 9,
									64-730
									Wieleń",dla osób przewlekle psychicznie chorych (Publiczny),68,392/KR - 2021,79
Dom Pomocy Społecznej Skęczyniew,,Powiat turecki,"Skęczniew 58,
									62-730
									Dobra",dla osób przewlekle psychicznie chorych (Publiczny),210,393/KR - 2021,79
Dom Pomocy Społecznej Pleszew,,Powiat pleszewski,"Plac Wolności Imienia Jana Pawła II 5,
									63-300
									Pleszew",– 148 miejsc dla osób przewlekle somatycznie chorych – 193 miejsca dla osób przewlekle psychicznie chorych (Publiczny),341,411/KR - 2021,81
Dom Pomocy Społecznej Psary,,Powiat ostrowski,"Kaliska 3,
									63-405
									Sieroszewice",dla osób przewlekle psychicznie chorych (Publiczny),166,420/KR - 2021,82
Dom Pomocy Społecznej Trzcianka,,Powiat czarnkowsko-trzcianecki,"27 Stycznia 41,
									64-980
									Trzcianka",dla osób przewlekle psychicznie chorych (Publiczny),100,422/KR - 2021,82
Dom Pomocy Społecznej Skubarczewo,,Powiat słupecki,"Skubarczewo 4,
									62-436
									Orchowo",dla osób przewlekle psychicznie chorych (Publiczny),51,426/KR - 2021,82
Dom Pomocy Społecznej Baszków,,Powiat krotoszyński,"Baszków 112,
									63-760
									Zduny",141 miejsc dla osób przewlekle somatycznie chorych 55 miejsc dla osób przewlekle psychicznie chorych (Publiczny),196,432/KR - 2021,83
Dom Pomocy Społecznej Sułków,,Powiat wielicki,"Sułków 278,
									32-020
									Wieliczka",dla osób przewlekle psychicznie chorych (Publiczny),60,436/KR - 2021,84
Dom Pomocy Społecznej Braci Albertynów,,Powiat oświęcimski,"Błogosławionej Faustyny 4,
									32-652
									Bulowice",dla osób przewlekle psychicznie chorych (Publiczny),81,442/KR - 2021,84
Dom Pomocy Społecznej im. Adama Chmielowskiego,,Powiat proszowicki,"Łyszkowice 64,
									32-104
									Koniusza",dla osób przewlekle psychicznie chorych (Publiczny),145,444/KR - 2021,84
Dom Pomocy Społecznej Maków Podhalański,,Powiat suski,"Żeromskiego 17,
									34-220
									Maków Podhalański",dla osób przewlekle psychicznie chorych (Publiczny),75,447/KR - 2021,85
Dom Pomocy Społecznej Sieradza,,Powiat tarnowski,"Sieradza 208,
									33-240
									Żabno",dla osób przewlekle psychicznie chorych (Publiczny),85,452/KR - 2021,85
Dom Pomocy Społecznej w Stróżach,,Powiat tarnowski,"Stróże 1,
									32-840
									Zakliczyn",dla osób przewlekle psychicznie chorych (Publiczny),108,453/KR - 2021,85
Dom Pomocy Społecznej Nowodworze,,Powiat tarnowski,"Nowodworze 64,
									33-112
									Tarnowiec",dla osób przewlekle psychicznie chorych (Publiczny),142,458/KR - 2021,86
Dom Pomocy Społecznej im. św. O. Rafała Kalinowskiego,,Powiat wadowicki,"Pułaskiego 5,
									34-100
									Wadowice",dla osób przewlekle psychicznie chorych (Publiczny),114,461/KR - 2021,86
Dom Pomocy Społecznej w Zebrzydowicach,,Powiat wadowicki,"Zebrzydowice 1,
									34-130
									Kalwaria Zebrzydowska",dla osób przewlekle psychicznie chorych (Publiczny),67,464/KR - 2021,87
Dom Pomocy Społecznej Więckowice,,Powiat krakowski,"Słoneczna 3,
									32-082
									Więckowice",dla osób przewlekle psychicznie chorych (Publiczny),149,467/KR - 2021,87
Dom Pomocy Społecznej Mszana Dolna,,Powiat limanowski,"Franka Rakoczego 9,
									34-730
									Mszana Dolna",dla osób przewlekle psychicznie chorych (Publiczny),48,470/KR - 2021,87
Dom Pomocy Społecznej Diana,,Powiat limanowski,"Kasina Wielka 448,
									34-741
									Kasina Wielka",dla osób przewlekle psychicznie chorych (Publiczny),100,471/KR - 2021,87
Dom Pomocy Społecznej Raba Niżna,,Powiat limanowski,"Raba Niżna 1,
									34-730
									Mszana Dolna",dla osób przewlekle psychicznie chorych (Publiczny),90,472/KR - 2021,88
Dom Pomocy Społecznej w Szczyrzycu,,Powiat limanowski,"Szczyrzyc 182,
									34-623
									Szczyrzyc",dla osób przewlekle psychicznie chorych (Publiczny),99,473/KR - 2021,88
Dom Pomocy Społecznej Biały Potok,,Powiat myślenicki,"Trzemeśnia 377,
									32-425
									Trzemeśnia",dla osób przewlekle psychicznie chorych (Publiczny),76,481/KR - 2021,89
Dom Pomocy Społecznej Nowy Sącz,,Nowy Sącz,"Nawojowska 155,
									33-300
									Nowy Sącz",dla osób przewlekle psychicznie chorych (Publiczny),170,482/KR - 2021,89
Dom Pomocy Społecznej Nowy Sącz,,Nowy Sącz,"Nawojowska 155,
									33-300
									Nowy Sącz",dla osób przewlekle psychicznie chorych (Publiczny),91,483/KR - 2021,89
Dom Pomocy Społecznej Zbyszyce,,Powiat nowosądecki,"Zbyszyce 12,
									33-318
									Gródek nad Dunajcem",dla osób przewlekle psychicznie chorych (Publiczny),122,486/KR - 2021,89
Dom Pomocy Społecznej Kraków,,Kraków,"Krakowska 55,
									31-066
									Kraków",dla osób przewlekle psychicznie chorych (Publiczny),260,501/KR - 2021,91
Dom Pomocy Społecznej,,Kraków,"Łanowa 41,
									30-725
									Kraków",dla osób przewlekle psychicznie chorych (Publiczny),378,502/KR - 2021,91
Dom Pomocy Społecznej Nowa Huta,,Kraków,"Osiedle Hutnicze 5,
									31-917
									Kraków",dla osób przewlekle psychicznie chorych - 55 miejsc dla osób przewlekle somatycznie chorych - 45 miejsc  dla dorosłych niepełnosprawnych intelektualnie - 40 miejsc (Publiczny),140,503/KR - 2021,91
Dom Pomocy Społecznej Czerna,,Powiat krakowski,"Czerna 110,
									32-065
									Krzeszowice",dla osób przewlekle psychicznie chorych (Publiczny),95,513/KR - 2021,92
Bonifraterska Fundacja Dobroczynna Dom Pomocy Społecznej w Konarach,,Powiat krakowski,"Bonifraterska 11,
									32-031
									Mogilany",dla osób przewlekle psychicznie chorych (Publiczny),63,515/KR - 2021,92
Dom Pomocy Społecznej Owczary,,Powiat krakowski,"Kasztanowa 20,
									32-088
									Owczary",dla osób przewlekle psychicznie chorych (Publiczny),99,517/KR - 2021,92
Dom Pomocy Społecznej Bochnia,,Powiat bocheński,"Karolina 14G,
									32-700
									Bochnia",dla osób w podeszłym wieku - 90 miejsc dla osób przewlekle psychicznie chorych - 67 miejsc (Publiczny),157,520/KR - 2021,93
Powiatowy Dom Pomocy Społecznej im. Adama Starzeńskiego w Płazie,,Powiat chrzanowski,"Wiosny Ludów 4,
									32-552
									Płaza",dla osób przewlekle psychicznie chorych (Publiczny),101,523/KR - 2021,93
Dom Pomocy Społecznej Klimkówka,,Powiat gorlicki,"Klimkówka 67,
									38-312
									Ropa",dla osób przewlekle psychicznie chorych (Publiczny),78,528/KR - 2021,94
Dom Pomocy Społecznej “Jawor” Markowskie,,Powiat olecki,"Markowskie 15,
									19-404
									Wieliczki",dla osób przewlekle psychicznie chorych (Publiczny),45,541/KR - 2021,95
Dom Pomocy Społecznej Barka Olsztyn,,Olsztyn,"Jacka Kuronia 10,
									10-165
									Olsztyn",dla osób przewlekle psychicznie chorych (Publiczny),86,546/KR - 2021,95
Dom Pomocy Społecznej Zacisze Olsztynek,,Powiat olsztyński,"Park 5,
									11-015
									Olsztynek",dla osób przewlekle psychicznie chorych (Publiczny),194,553/KR - 2021,96
Dom Pomocy Społecznej Michała Archanioła Szyldak,,Powiat ostródzki,"Gdańska 14,
									14-106
									Szyldak",dla osób przewlekle psychicznie chorych (Publiczny),100,555/KR - 2021,96
Dom Pomocy Społecznej Szczytno,,Powiat szczycieński,"Wielbarska 2,
									12-100
									Szczytno Siekiewicza 3,
									12-150
									Spychowo",dla osób przewlekle psychicznie chorych dla osób przewlekle psychicznie chorych (Publiczny),171,558/KR - 2021,97
Dom Pomocy Społecznej Kamińsk,,Powiat bartoszycki,"Obrońców Westerplatte 10,
									11-220
									Górowo Iławeckie",dla osób przewlekle psychicznie chorych (Publiczny),50,563/KR - 2021,97
Powiatowy Dom Pomocy Społecznej Braniewo,,Powiat braniewski,"Królewiecka 35,
									14-500
									Braniewo",dla osób przewlekle psychicznie chorych (Publiczny),68,566/KR - 2021,97
Dom Pomocy Społecznej Uzdowo,,Powiat działdowski,"Uzdowo 18-19,
									13-214
									Działdowo",dla osób przewlekle psychicznie chorych (Publiczny),93,567/KR - 2021,97
Dom Pomocy Społecznej Nowa Wieś Ełcka,,Powiat ełcki,"Lipowa 1,
									19-321
									Nowa Wieś Ełcka",dla osób przewlekle psychicznie chorych (Publiczny),280,574/KR - 2021,98
Dom Pomocy Społecznej Lili Golubie,,Powiat ełcki,"Golubie 7,
									19-314
									Kalinowo",dla osób przewlekle psychicznie chorych (Publiczny),88,575/KR - 2021,98
Dom Pomocy Społecznej Bidziny,,Powiat opatowski,"Bidziny 142,
									27-532
									Wojciechowice",dla osób przewlekle psychicznie chorych (Publiczny),12,603/KR - 2021,100
Dom Pomocy Społecznej Włoszczowa,,Powiat włoszczowski,"Koniecpolska 20,
									29-100
									Włoszczowa",dla osób przewlekle psychicznie chorych (Publiczny),120,610/KR - 2021,101
Dom Pomocy Społecznej Słupia,,Powiat buski,"Słupia 91,
									28-133
									Pacanów",dla osób przewlekle psychicznie chorych (Publiczny),90,612/KR - 2021,101
Dom Pomocy Społecznej Ostrowiec Świętokrzyski,,Powiat ostrowiecki,"os. Słoneczne 49,
									27-400
									Ostrowiec Świętokrzyski",dla  osób przewlekle psychicznie chorych (Publiczny),151,619/KR - 2021,102
Dom Pomocy Społecznej Końskie,,Powiat konecki,"Warszawska 25,
									26-200
									Końskie",dla osób przewlekle psychicznie chorych (Publiczny),150,622/KR - 2021,102
Dom Pomocy Społecznej Rudki,,Powiat staszowski,"Rudki 89,
									28-225
									Szydłów",dla osób przewlekle psychicznie chorych (Publiczny),40,624/KR - 2021,102
Dom Pomocy Społecznej im. prof. Antoniego Kępińskiego Kielce,,Kielce,"Jagiellońska 76,
									25-734
									Kielce",osób przewlekle psychicznie chorych (Publiczny),82,627/KR - 2021,103
Dom Pomocy Społecznej Świniary,,Powiat buski,"Świniary 25,
									28-131
									Solec-Zdrój",dla osób przewlekle psychicznie chorych (Publiczny),31,628/KR - 2021,103
Dom Pomocy Społecznej Wola Czaryska,,Powiat włoszczowski,"Wola Czaryska 92,
									29-145
									Secemin",dla osób przewlekle psychicznie chorych (Publiczny),75,630/KR - 2021,103
Dom Pomocy Społecznej Pińczów,,Powiat pińczowski,"Wesoła 5,
									28-400
									Pińczów",dla osób przewlekle psychicznie chorych (Publiczny),102,636/KR - 2021,104
Dom Pomocy Społecznej Skarżysko-Kamienna,,Powiat skarżyski,"Sporna 6,
									26-110
									Skarżysko-Kamienna",dla osób przewlekle psychicznie chorych (Publiczny),60,638/KR - 2021,104
Dom Pomocy Społecznej Zochcinek,,Powiat opatowski,"Zochcinek 42,
									27-500
									Opatów Szpitalna 4,
									27-500
									Opatów",osób przewlekle psychicznie chorych dla osób przewlekle psychicznie chorych (Publiczny),235,641/KR - 2021,104
Dom Pomocy Społecznej Ożarów,,Powiat opatowski,"Czachów 54,
									27-530
									Ożarów",dla osób przewlekle psychicznie chorych (Publiczny),53,642/KR - 2021,104
Dom Pomocy Społecznej Kielce,,Kielce,"S. Żeromskiego 4-6,
									25-369
									Kielce",dla osób przewlekle psychicznie chorych (Publiczny),104,644/KR - 2021,105
Dom Pomocy Społecznej im. Św. Antoniego w Łosienicach,,Powiat kartuski,"Nowe Łosienice 39,
									83-323 
									Kamienica Szlachecka",dla osób przewlekle psychicznie chorych (Publiczny),31,667/KR - 2021,107
Dom Pomocy Społecznej w Lubuczewie,,Powiat słupski,"Lubuczewo 29A,
									76-200
									Słupsk",dla osób przewlekle psychicznie chorych (Publiczny),112,671/KR - 2021,107
Dom Pomocy Społecznej w Damaszce,,Powiat tczewski,"Damaszka 1,
									83-209
									Godziszewo",dla osób przewlekle psychicznie chorych (Publiczny),126,674/KR - 2021,107
Dom Pomocy Społecznej w Cisewiu,,Powiat kościerski,"Cisewie 35,
									83-440
									Karsin",dla osób przewlekle psychicznie chorych (Publiczny),114,677/KR - 2021,108
Dom Pomocy Społecznej Słoneczne Wzgórze,,Powiat kwidzyński,"Słoneczna 14,
									82-420
									Ryjewo","120 dla osób przewlekle psychicznie chorych, 60 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",180,679/KR - 2021,108
Dom Pomocy Społecznej w Strzebielinku,,Powiat wejherowski,"Strzebielinek ,
									84-250
									Gniewino",dla osób przewlekle psychicznie chorych (Publiczny),182,687/KR - 2021,109
Dom Pomocy Społecznej im. dr. Józefa Marcelego Kopicza w Szpęgawsku,,Powiat starogardzki,"Kasztanowa 23, Szpęgawsk,
									83-200
									Starogard Gdański",dla osób przewlekle psychicznie chorych (Publiczny),216,690/KR - 2021,109
