nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej Brzeziny,,Powiat choszczeński,"Brzeziny 10,
									73-220
									Drawno",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),104,85/KR - 2021,49
Dom Pomocy Społecznej Nowogard,,Powiat goleniowski,"Smużyny 2,
									72-200
									Nowogard",dla osób niepełnosprawnych intelektualnie oraz przewlekle psychicznie chorych (Publiczny),237,87/KR - 2021,50
Dom Pomocy Społecznej Moryń,,Powiat gryfiński,"Rynkowa 27,
									74-503
									Moryń",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),120,91/KR - 2021,50
Dom Pomocy Społecznej Nowe Czarnowo,,Powiat gryfiński,"Nowe Czarnowo 74,
									74-105
									Nowe Czarnowo","dla dzieci, młodzieży i dorosłych niepełnosprawnych intelektualnie (Publiczny)",120,92/KR - 2021,50
Dom Pomocy Społecznej Kołobrzeg,,Powiat kołobrzeski,"Mazowiecka 29,
									78-100
									Kołobrzeg",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),35,94/KR - 2021,50
Dom Pomocy Społecznej Katolickiego Stowarzyszenia Niepełnosprawnych Archidiecezji Warszawskiej w Brwinowie,,Powiat pruszkowski,"Wiosenna 21,
									05-840
									Brwinów",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),55,228/KR - 2021,62
Dom Pomocy Społecznej w Konstancinie – Jeziornie,,Powiat piaseczyński,"Potulickich 1,
									05-510
									Konstancin-Jeziorna",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),122,239/KR - 2021,63
Dom Pomocy Społecznej w Nowym Mieście n/Pilicą,,Powiat grójecki,"Ogrodowa 18,
									26-420
									Nowe Miasto",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),66,241/KR - 2021,63
Dom Pomocy Społecznej w Brańszczyku,,Powiat wyszkowski,"Jana Pawła II 65,
									07-221
									Brańszczyk",dla osób przewlekle somatycznie chorych oraz dorosłych niepełnosprawnych intelektualnie (Publiczny),194,246/KR - 2021,64
Dom Pomocy Społecznej Na Bachusa w Warszawie,,Warszawa,"Bachusa 7,
									04-814
									Warszawa",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),80,261/KR - 2021,65
Dom Pomocy Społecznej w Kątach,,Powiat miński,"Kąty 22,
									05-332
									Siennica",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),50,269/KR - 2021,66
Dom Pomocy Społecznej Na Przedwiośniu w Warszawie,,Warszawa,"Przedwiośnie 1,
									04-748
									Warszawa",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),100,279/KR - 2021,67
Dom Pomocy Społecznej im. Abp. A. J. Nowowiejskiego w Brwilnie,,Płock,"Płocka 90,
									09-400
									Płock",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),140,286/KR - 2021,68
Dom Pomocy Społecznej dla Dzieci i Młodzieży w Warszawie,,Warszawa,"Żegańska 34,
									04-713
									Warszawa",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),70,288/KR - 2021,68
Dom Pomocy Społecznej w Goślicach,,Powiat płocki,"Goślice 66,
									09-230
									Bielsk",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),128,290/KR - 2021,68
Dom Pomocy Społecznej w Wirowie,,Powiat sokołowski,"Aleja Jana Pawła II 2,
									08-304
									Jabłonna Lacka",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),104,294/KR - 2021,69
Dom Pomocy Społecznej im. Księdza Kardynała Józefa Glempa w Bramkach,,Powiat warszawski zachodni,"Północna 18, Bramki,
									05-870
									Błonie",dla dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle psychicznie chorych (Publiczny),170,296/KR - 2021,69
Dom Pomocy Społecznej w Sadowej,,Powiat warszawski zachodni,"Jagodowa 2, Sadowa,
									05-092
									Łomianki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),100,297/KR - 2021,69
