nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Miejski Dom Spokojnej Starości Ustroń,,Powiat cieszyński,"Słoneczna 10,
									43-450
									Ustroń",osoby w podeszłym wieku (Publiczny),38,2398/KR - 2021,160
Miejski Dom Pomocy Społecznej Żory,,Żory,"Osiedle Powstańców Śląskich 20,
									44-240
									Żory",osoby w podeszłym wieku oraz osoby niepełnosprawne fizycznie (Publiczny),26,2399/KR - 2021,160
Dom Pomocy Społecznej Senior im. Jana Kaczmarka Czeladź,,Powiat będziński,"Szpitalna 5A,
									41-250
									Czeladź",osoby w podeszłym wieku (Publiczny),48,2400/KR - 2021,161
Dom Pomocy Społecznej dla osób w podeszłym wieku Herby,,Powiat lubliniecki,"Mickiewicza 19a,
									42-284
									Herby",osoby w podeszłym wieku (Publiczny),14,2401/KR - 2021,161
Dom Pomocy Społecznej Matki Bożej Nieustającej Pomocy Bielsko-Biała,,Bielsko-Biała,"Grzybowa 8,
									43-300
									Bielsko-Biała",osoby w podeszłym wieku (Publiczny),28,2403/KR - 2021,161
Ośrodek Mieszkalno-Rehabilitacyjny im. Św. Apa. Józefa Bilczewskiego Stowarzyszenia Razem Bestwina,,Powiat bielski,"Generała Sikorskiego 48A,
									43-512
									Bestwina",dorośli niepełnosprawni intelektualnie (Publiczny),22,2405/KR - 2021,161
Dom Pomocy Społecznej Przedsionek Pana Fundacja Godziszów,,Powiat cieszyński,"Pod Chełmem 60,
									43-440
									Goleszów",osoby w podeszłym wieku oraz osoby przewlekle somatycznie chore (Publiczny),40 (24+16),2406/KR - 2021,161
Dom Pomocy Społecznej Nestor Fundacja Żywiec,,Powiat żywiecki,"Aleja Legionów 1A,
									34-300
									Żywiec",osoby w podeszłym wieku oraz osoby przewlekle somatycznie chore (Publiczny),50 (38+12),2407/KR - 2021,161
"Dom Pomocy Społecznej Domus Misericordiae, Caritas Archidiecezji Częstochowskiej, Częstochowa",,Częstochowa,"Ogrodowa  28,
									42-202
									Częstochowa",osoby w podeszłym wieku oraz osoby przewlekle somatycznie chore (Publiczny),32,2408/KR - 2021,161
Dom Pomocy Społecznej Łubie,,Powiat tarnogórski,"Pyskowicka 34,
									44-131
									 Łubie",osoby przewlekle psychicznie chore (Publiczny),68,2409/KR - 2021,161
DPS dla Dorosłych prowadzony przez Zgromadzenie Sióstr Albertynek Częstochowa,,Częstochowa,"Wesoła 42,
									42-200
									Częstochowa",dorośli niepełnosprawni intelektualnie (Publiczny),85,2411/KR - 2021,161
DPS dla Dorosłych prowadzony przez Zgromadzenie Braci Albertynów Częstochowa,,Częstochowa,"Świętej Jadwigi 84/86,
									42-200
									Częstochowa",dorośli niepełnosprawni intelektualnie (Publiczny),82,2412/KR - 2021,162
DPS dla Dorosłych im. św. Brata Alberta Poraj,,Powiat myszkowski,"Jasna 6,
									42-360
									Poraj",dorośli niepełnosprawni intelektualnie (Publiczny),100,2413/KR - 2021,162
DPS prowadzony przez Zgromadzenie Sióstr Miłosierdzia św. Karola Boromeusza Siemianowice Śląskie,,Siemianowice Śląskie,"Maciejkowicka 8,
									41-103
									Siemianowice Śląskie",dorośli niepełnosprawni intelektualnie (Publiczny),44,2414/KR - 2021,162
Caritas Archidiecezji Katowickiej DPS Święty Antoni Świętochłowice,,Świętochłowice,"Biskupa Teodora Kubiny 11,
									41-600
									Świętochłowice",dorośli niepełnosprawni intelektualnie (Publiczny),78,2415/KR - 2021,162
DPS prowadzony przez Ojców Kamilianów Zbrosławice,,Powiat tarnogórski,"Wolności 34,
									42-674
									Zbrosławice",dorośli niepełnosprawni intelektualnie (Publiczny),95,2416/KR - 2021,162
Caritas Archidiecezji Katowickiej Ośrodek M.B Uzdrowienie Chorych Dom Pomocy Społecznej Knurów,,Powiat gliwicki,"Szpitalna 29,
									44-194
									Knurów",dorośli niepełnosprawni intelektualnie (Publiczny),90,2417/KR - 2021,162
Powiatowy Dom Pomocy Społecznej Feniks Skoczów,,Powiat cieszyński,"Sportowa 13,
									43-430
									Skoczów",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),102,2419/KR - 2021,162
Dom Pomocy Społecznej Ostoja Sośnicowice,,Powiat gliwicki,"Kozielska 1,
									44-153
									Sośnicowice",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),124,2420/KR - 2021,162
Dom Pomocy Społecznej Zameczek Lubliniec,,Powiat lubliniecki,"74 Górnośląskiego Pułku Piechoty 2,
									42-700
									Lubliniec",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),73,2421/KR - 2021,162
Dom Pomocy Społecznej Zgromadzenia Córek Bożej Miłości Bielsko-Biała,,Bielsko-Biała,"Żywiecka 20,
									43-300
									Bielsko-Biała",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),65,2422/KR - 2021,163
DPS Zgromadzenia Sióstr Służebniczek BDNP Skoczów,,Powiat cieszyński,"Mickiewicza 36,
									43-430
									Skoczów",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),39,2423/KR - 2021,163
DPS dla Dzieci prowadzony przez Zgromadzenie Sióstr Szkolnych de Notre Dame Strumień,,Powiat cieszyński,"1 Maja 12,
									43-246
									Strumień",dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),73,2424/KR - 2021,163
DPS dla dzieci i młodzieży niepełnosprawnych intelektualnie prowadzony przez Zakon Ojców Kamilianów Pilchowice,,Powiat gliwicki,"Damrota 7,
									44-145
									Pilchowice",dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),60,2425/KR - 2021,163
DPS prowadzony przez Zgromadzenie Sióstr św. Jadwigi Pielgrzymowice,,Powiat pszczyński,"Golasowicka 15,
									43-253
									Pielgrzymowice",dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),90,2426/KR - 2021,163
DPS Różany Pałac prowadzony przez Zgromadzenie Sióstr Franciszkanek Maryi Nieustającej Pomocy Krzyżanowice,,Powiat raciborski,"Kolejowa 4,
									47-450
									Krzyżanowice",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),60,2427/KR - 2021,163
DPS prowadzony przez Zgromadzenie Sióstr Milosiedzia św. Karola Boromeusza Ruda Śląska,,Ruda Śląska,"Józefa Piłsudskiego 43,
									41-707
									Ruda Śląska",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),48,2428/KR - 2021,163
